# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.66900e+03 4.66905e+01 4.66905e+01
1.25000e+00 1.52800e+03 3.37343e+01 3.37343e+01
1.42000e+00 1.37200e+03 2.54951e+01 2.54951e+01
1.61000e+00 1.20000e+03 1.96469e+01 1.96469e+01
1.81000e+00 1.02100e+03 1.45602e+01 1.45602e+01
2.04000e+00 8.63200e+02 1.15248e+01 1.15248e+01
2.27000e+00 7.22300e+02 9.17606e+00 9.17606e+00
2.54000e+00 5.95700e+02 7.18401e+00 7.18401e+00
2.82000e+00 4.86600e+02 5.63205e+00 5.63205e+00
3.13000e+00 3.98800e+02 4.52217e+00 4.52217e+00
3.46000e+00 3.25400e+02 3.66879e+00 3.66879e+00
3.83000e+00 2.62800e+02 2.94109e+00 2.94109e+00
4.22000e+00 2.12600e+02 2.30868e+00 2.30868e+00
4.65000e+00 1.71100e+02 1.89737e+00 1.89737e+00
5.12000e+00 1.37800e+02 1.48661e+00 1.48661e+00
5.63000e+00 1.09700e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.79900e+01 9.70824e-01 9.70824e-01
6.78000e+00 7.07100e+01 7.81089e-01 7.81089e-01
7.42000e+00 5.66000e+01 6.26259e-01 6.26259e-01
8.12000e+00 4.45400e+01 4.99800e-01 4.99800e-01
8.87000e+00 3.55000e+01 4.04969e-01 4.04969e-01
9.68000e+00 2.84900e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.27400e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.63300e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.35800e+00 1.08931e-01 1.08931e-01
1.97000e+01 4.40600e+00 5.26308e-02 5.26308e-02
2.81000e+01 1.68500e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.76800e-01 7.44648e-03 7.44648e-03
5.91000e+01 2.07900e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.46900e-02 1.11826e-03 1.11826e-03
