# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.27100e+03 3.66742e+01 3.66742e+01
1.25000e+00 1.20200e+03 2.66833e+01 2.66833e+01
1.42000e+00 1.13100e+03 2.15870e+01 2.15870e+01
1.61000e+00 1.01800e+03 1.64924e+01 1.64924e+01
1.81000e+00 8.91100e+02 1.29541e+01 1.29541e+01
2.04000e+00 7.68800e+02 1.03160e+01 1.03160e+01
2.27000e+00 6.57000e+02 8.35225e+00 8.35225e+00
2.54000e+00 5.46700e+02 6.58027e+00 6.58027e+00
2.82000e+00 4.54500e+02 5.34509e+00 5.34509e+00
3.13000e+00 3.76600e+02 4.30116e+00 4.30116e+00
3.46000e+00 3.07700e+02 3.47851e+00 3.47851e+00
3.83000e+00 2.51000e+02 2.72029e+00 2.72029e+00
4.22000e+00 2.04200e+02 2.21359e+00 2.21359e+00
4.65000e+00 1.65800e+02 1.80278e+00 1.80278e+00
5.12000e+00 1.32700e+02 1.45602e+00 1.45602e+00
5.63000e+00 1.07900e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.56200e+01 9.39202e-01 9.39202e-01
6.78000e+00 6.89700e+01 7.62168e-01 7.62168e-01
7.42000e+00 5.52300e+01 6.13514e-01 6.13514e-01
8.12000e+00 4.40900e+01 4.99800e-01 4.99800e-01
8.87000e+00 3.51000e+01 4.04969e-01 4.04969e-01
9.68000e+00 2.81000e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.24200e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.61400e+01 1.86815e-01 1.86815e-01
1.48000e+01 9.30400e+00 1.08931e-01 1.08931e-01
1.97000e+01 4.33300e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.67500e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.78800e-01 7.44648e-03 7.44648e-03
5.91000e+01 2.08000e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.57900e-02 1.14018e-03 1.14018e-03
