# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.38400e+03 3.86394e+01 3.86394e+01
1.25000e+00 1.29400e+03 2.86356e+01 2.86356e+01
1.42000e+00 1.18500e+03 2.15870e+01 2.15870e+01
1.61000e+00 1.05400e+03 1.64924e+01 1.64924e+01
1.81000e+00 9.13500e+02 1.32699e+01 1.32699e+01
2.04000e+00 7.78600e+02 1.03846e+01 1.03846e+01
2.27000e+00 6.52300e+02 8.25651e+00 8.25651e+00
2.54000e+00 5.41300e+02 6.58027e+00 6.58027e+00
2.82000e+00 4.50300e+02 5.22015e+00 5.22015e+00
3.13000e+00 3.68800e+02 4.20595e+00 4.20595e+00
3.46000e+00 3.03100e+02 3.38378e+00 3.38378e+00
3.83000e+00 2.47200e+02 2.72029e+00 2.72029e+00
4.22000e+00 2.00800e+02 2.21359e+00 2.21359e+00
4.65000e+00 1.61700e+02 1.77200e+00 1.77200e+00
5.12000e+00 1.31500e+02 1.45602e+00 1.45602e+00
5.63000e+00 1.04700e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.45200e+01 9.29731e-01 9.29731e-01
6.78000e+00 6.74000e+01 7.40000e-01 7.40000e-01
7.42000e+00 5.38700e+01 5.94643e-01 5.94643e-01
8.12000e+00 4.35700e+01 4.90408e-01 4.90408e-01
8.87000e+00 3.43800e+01 3.95601e-01 3.95601e-01
9.68000e+00 2.76900e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.20800e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.60400e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.24400e+00 1.07968e-01 1.07968e-01
1.97000e+01 4.34600e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.65600e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.76500e-01 7.44648e-03 7.44648e-03
5.91000e+01 2.06300e-01 2.77849e-03 2.77849e-03
8.48000e+01 7.68300e-02 1.15421e-03 1.15421e-03
